pH,osmolality,Rhodobacteraceae,unclassified Bacteria,Legionellaceae,unclassified Enterobacterales,Crocinitomicaceae,Pseudomonadaceae,Moraxellaceae,Chitinophagaceae,Comamonadaceae,Nostocaceae,Beijerinckiaceae,DTU014,NS9_marine_group,unclassified Clostridia,unclassified Oscillospirales,Rhizobiales_Incertae_Sedis,Acidimicrobiaceae,Clostridium_methylpentosum_group,Pasteurellaceae,Selenomonadaceae,unclassified Lactobacillales,Methanobacteriaceae,unclassified Archaea,Peptococcaceae,Actinomycetaceae,Clostridia_UCG-014,Eubacterium_coprostanoligenes_group,unclassified Firmicutes,Akkermansiaceae,Marinifilaceae,Ethanoligenenaceae,Christensenellaceae,Prevotellaceae,Monoglobaceae,Desulfovibrionaceae,Acidithiobacillaceae,Bacillaceae,Anaerofustaceae,Erysipelotrichaceae,Acidiferrobacteraceae,Anaerovoracaceae,Peptostreptococcaceae,Barnesiellaceae,Acidaminococcaceae,Streptococcaceae,Butyricicoccaceae,Leptospirillaceae,Erysipelatoclostridiaceae,Rikenellaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Tannerellaceae,Sutterellaceae,Veillonellaceae,Clostridiaceae,Lactobacillaceae,Bacteroidaceae,Coriobacteriaceae,Enterobacteriaceae,Lachnospiraceae,Peptostreptococcales-Tissierellales,Bifidobacteriaceae,Leuconostocaceae,Enterococcaceae,Muribaculaceae,Campylobacteraceae,Gastranaerophilales
NaN,472,0,0,0,0,0,0,0,0,0,0,0,9.56434E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239109,0.000191287,0,0,0,0.001291186,0,0,0,0.002008512,0,0.000382574,0.000430395,0.00028693,0,0,0.003490986,0,0.005929893,0.021424131,0.007986227,0.000191287,0.010903352,0.016928889,0.008990483,0.039405098,0,0,0.047152217,0.001817225,0.095308689,0.068432882,0.012194539,0.01582899,9.56434E-05,0.638993831,0,0,0
NaN,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011139,0,0,0.00011139,0,0,0,0,0,0.001058201,0,0,0.000501253,0.000334169,0,0,0,0,0,0,0.000612643,0.000389864,0.001225285,0.001726539,0.023893066,0,0.00813144,0.000389864,0,0.027457533,0,0.047674742,0.063324979,0.085435812,0.002227792,0,0.735394041,0,0,0
5.5,NaN,0,0,0,0,0,0,0,0,0,0,0,0,9.994E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054967,0,0,0.00039976,0,0,0,0,0,0,0.00034979,0,0,0.004097541,0,0,0.00019988,0,0,0,0.00109934,0.003697781,0,0.00044973,0.00059964,0,0.00029982,0.00029982,0,0.00109934,0.00074955,0.00044973,0.008594843,0,0.671197282,0,0.30576654,0,0,0
6.9,NaN,0,0,0,6.58003E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29001E-05,0.000230301,0,0,0,0,0,0,0.001118605,0,0,0.000361902,9.87004E-05,0,9.87004E-05,6.58003E-05,0,0.002006909,0.012929758,0.000460602,0.000263201,0.014772166,0.019114986,0.000361902,0.013094259,0.000197401,0,0.045336404,0.002664912,0.079388057,0.100115151,0.016910676,0.007238033,0,0.683072874,0,0,0
7.4,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107579,0.000107579,0,0,0,0,0,0.000215158,0,0,0,0,0,0,0,0,0,0,0.000215158,0,0,0,0,0,5.37895E-05,0.000161368,0,0.001237158,0.000753053,0.000484105,0,0,0,0,0.001344737,0.013447367,0.001506105,0.000430316,0.009036631,0.018987682,0,0.020762735,0,0,0.049809047,0.000645474,0.062180625,0.099564305,0.026571997,0.001290947,0,0.691087085,0,0,0
NaN,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384763,0,0,0.000164899,0,0,0,0.000164899,0.002638377,0,0,0,0.000329797,0.000164899,0.00043973,0,0.000274831,0,0.036882317,0.001703952,0.113340296,0,0.083108888,0.760402353,0,0,0
NaN,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000493803,0,0,0,0,0,0,0,0.003357859,0,9.87606E-05,0,0,0,0,0,0.000592563,0,0.029529406,0.001975211,0.065083206,0.000395042,0.068292924,0.830181226,0,0,0
NaN,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160668,0,0,0,0,0,0,0,0,0.00028117,0,0,0,0,0.000522172,0,0,0,0,0,0.001606684,0.00028117,0.004538882,0.001646851,0.001847686,0.002048522,0,0.011929627,0.006346401,0.013656812,0.000763175,0.008033419,0.019882712,0.05808162,0.030687661,0,0,0.077522494,0.001446015,0.019240039,0.221280527,0.035628213,0.0218509,0.11339171,0.347324871,0,0,0
NaN,862,0,0,0,0,0,0,7.52049E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52049E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000376025,0,0,0.002030533,0.000188012,7.52049E-05,0.001880123,0.003797849,0,0,0,0.000376025,0.001692111,0.000112807,0.000902459,0.017109122,0.011055125,0.012634429,0.00015041,0,0.048206362,0.000112807,0.041249906,0.09084756,0.096675942,0.001504099,0.132097466,0.536775212,0,0,0
5.5,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146749,0,0,0,0,0,0,0.000330184,0.000128405,0,0,3.66872E-05,0,0,0,0.000128405,0,0,0,0,0.000366872,0,0,0.003063377,0,0,0.00025681,0.000293497,0,7.33743E-05,0.000275154,0.008419701,0,0.000495277,0.000128405,0.005099514,0.025185729,0.000165092,0,0.00179767,0.00025681,3.66872E-05,0.010639274,0,0.103824635,0.812051729,0.026799963,0,0,0
6.9,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000306701,0,0,0.000306701,0,0,0.002402495,0,0.001942442,0.001686858,0.002198027,0.000920104,0,0.005980678,0.005929561,0.004191586,0.00132904,0.00511169,0.01502837,0.02295149,0.016612994,0,0,0.049685631,0.000766754,0.022235853,0.185043194,0.090170219,0.020957931,0.071563666,0.472678015,0,0,0
7.4,NaN,0,0,0,0,0,0,0,0,0,8.85269E-05,0,0,0,0,0,0,0,0,0,0,0,0.000265581,0,0,0,0,0,0,0,0,0,0.000221317,0,0,0.000486898,0,0,0.000309844,0,0,0.001416431,0.000354108,0.000442635,0.005754249,4.42635E-05,0.000265581,0,0.001947592,0.001991856,0.0023017,0.000841006,0.008719901,0.016598796,0.01319051,0.001062323,0,0,0.073167493,0,0.050681657,0.114332507,0.095299221,0.000309844,0.085561261,0.524344901,0,0,0
